DEPTH      GR         CAL        RES90      RES10      NMRFF      NMRPERM    NMRPHIE    NMRPHIT    
M          gAPI       in         ohm.m      ohm.m      DEC        mD         DEC        DEC        
$Format : 11,11,11,11,11,11,11,11,11
5479.0752  13.0973    12.3410    1.8474     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5479.2276  12.0776    12.3512    1.8294     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5479.3800  11.1163    12.3512    1.8241     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5479.5324  10.6571    12.3480    1.8163     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5479.6848  10.3830    12.3424    1.8019     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5479.8372  10.3936    12.3411    1.7889     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5479.9896  10.6966    12.3401    1.7953     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5480.1420  10.7598    12.3376    1.8473     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5480.2944  10.4769    12.3380    1.9093     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5480.4468  10.0002    12.3361    1.9404     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5480.5992  9.9276     12.3299    1.9258     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5480.7516  10.6388    12.3258    1.8975     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5480.9040  11.7620    12.3274    1.9378     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5481.0564  12.5198    12.3263    2.0178     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5481.2088  12.2783    12.3175    2.0172     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5481.3612  11.0188    12.3121    1.9216     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5481.5136  9.7845     12.3120    1.8236     1950.0000  -999.0000  -999.0000  -999.0000  -999.0000  
