DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5415.7568  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  0.2044     -999.0000  -999.0000  
5415.7822  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  0.2044     -999.0000  -999.0000  
5415.8076  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  0.2044     -999.0000  -999.0000  
5415.8330  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  0.2044     -999.0000  -999.0000  
5415.8584  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  0.2044     -999.0000  -999.0000  
5415.8838  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  0.2044     -999.0000  -999.0000  
5415.9092  41.0437    12.0990    1228.7245  1950.0000  0.0638     3.2218     0.0852     0.0978     
5415.9346  41.0437    12.0917    1580.4102  1950.0000  0.0638     3.2218     0.0852     0.0978     
5415.9600  41.0437    12.0753    -999.0000  -999.0000  0.0638     3.2218     0.0852     0.0978     
5415.9854  41.0437    12.0771    -999.0000  -999.0000  0.0638     3.2218     0.0852     0.0978     
5416.0108  41.0437    12.0771    -999.0000  -999.0000  0.0638     3.2218     0.0852     0.0978     
5416.0362  41.0437    12.0698    -999.0000  -999.0000  0.0638     3.2218     0.0852     0.0978     
5416.0616  29.5736    12.0917    1855.4487  1950.0000  0.0823     10.8887    0.1048     0.1157     
5416.0870  29.5736    12.0917    1561.0509  1950.0000  0.0823     10.8887    0.1048     0.1157     
5416.1124  29.5736    12.1136    -999.0000  -999.0000  0.0823     10.8887    0.1048     0.1157     
5416.1378  29.5736    12.1354    -999.0000  -999.0000  0.0823     10.8887    0.1048     0.1157     
5416.1632  29.5736    12.1573    -999.0000  -999.0000  0.0823     10.8887    0.1048     0.1157     
5416.1886  29.5736    12.1846    -999.0000  -999.0000  0.0823     10.8887    0.1048     0.1157     
